# Date : 2017-04-22
# Equipment : MACSQuant (Bjorkman lab)
# User: nbellive
# Description :
# LacI titration with operators Onew102, Onew103, Onew104, Onew105, Onew107
# and 7 different RBS (delta, HG104, RBS1147, RBS446, RBS1027, RBS1 and RBS1L)
# Comments :
# Things looks fine. Flow rate was the usual 4000/sec-6000/sec
date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20170422,nbellive,O1new102,-13.81,auto,0,3377.79914411,0.0,0.0
20170422,nbellive,O1new102,-13.81,delta,0,21045.4309163,17667.6317722,1.0
20170422,nbellive,O1new102,-13.81,RBS1L,870,3588.17788097,210.378736858,0.0119075798936
20170422,nbellive,O1new102,-13.81,RBS1,610,3640.26522727,262.466083158,0.0148557591953
20170422,nbellive,O1new102,-13.81,RBS1027,130,3516.02838702,138.229242907,0.00782386936121
20170422,nbellive,O1new102,-13.81,RBS446,62,3648.7283635,270.929219395,0.0153347784745
20170422,nbellive,O1new102,-13.81,RBS1147,30,3917.72852416,539.929380056,0.0305603709099
20170422,nbellive,O1new102,-13.81,HG104,11,4624.3893832,1246.59023909,0.070557857169
20170422,nbellive,O1new103,-13.1,auto,0,3181.85239579,0.0,0.0
20170422,nbellive,O1new103,-13.1,delta,0,25310.7889364,22128.9365407,1.0
20170422,nbellive,O1new103,-13.1,RBS1L,870,3330.5432286,148.690832819,0.00671929410372
20170422,nbellive,O1new103,-13.1,RBS1,610,3417.09812713,235.245731344,0.0106306839875
20170422,nbellive,O1new103,-13.1,RBS1027,130,3532.47289368,350.620497892,0.0158444350567
20170422,nbellive,O1new103,-13.1,RBS446,62,3732.61525093,550.762855145,0.0248888081057
20170422,nbellive,O1new103,-13.1,RBS1147,30,3994.52603674,812.673640958,0.0367244779009
20170422,nbellive,O1new103,-13.1,HG104,11,5504.07722314,2322.22482736,0.104940642904
20170422,nbellive,O1new104,-14.21,auto,0,3251.56609495,0.0,0.0
20170422,nbellive,O1new104,-14.21,delta,0,33802.0808324,30550.5147375,1.0
20170422,nbellive,O1new104,-14.21,RBS1L,870,3333.39356544,81.8274704862,0.00267843181005
20170422,nbellive,O1new104,-14.21,RBS1,610,3379.45933595,127.893240999,0.00418628759935
20170422,nbellive,O1new104,-14.21,RBS1027,130,3348.29669038,96.7305954269,0.00316625092108
20170422,nbellive,O1new104,-14.21,RBS446,62,3609.55412553,357.988030581,0.0117179050388
20170422,nbellive,O1new104,-14.21,RBS1147,30,3834.87252138,583.306426426,0.0190931783454
20170422,nbellive,O1new104,-14.21,HG104,11,4846.17674903,1594.61065408,0.0521958686387
20170422,nbellive,O1new105,-12.59,auto,0,3235.70743728,0.0,0.0
20170422,nbellive,O1new105,-12.59,delta,0,18349.4933518,15113.7859145,1.0
20170422,nbellive,O1new105,-12.59,RBS1L,870,4111.83989428,876.132456993,0.0579690927178
20170422,nbellive,O1new105,-12.59,RBS1,610,4114.98616926,879.27873198,0.0581772652435
20170422,nbellive,O1new105,-12.59,RBS1027,130,5701.64171403,2465.93427674,0.163157946705
20170422,nbellive,O1new105,-12.59,RBS446,62,7302.53362753,4066.82619025,0.26908057407
20170422,nbellive,O1new105,-12.59,RBS1147,30,9481.39187013,6245.68443285,0.413244204211
20170422,nbellive,O1new105,-12.59,HG104,11,13536.8518632,10301.144426,0.68157273659
20170422,nbellive,O1new107,-15.24,auto,0,3221.86692637,0.0,0.0
20170422,nbellive,O1new107,-15.24,delta,0,21813.228491,18591.3615646,1.0
20170422,nbellive,O1new107,-15.24,RBS1L,870,3227.78692974,5.92000337621,0.000318427639397
20170422,nbellive,O1new107,-15.24,RBS1,610,3318.79164401,96.9247176435,0.00521342760758
20170422,nbellive,O1new107,-15.24,RBS1027,130,3404.35427681,182.487350442,0.00981570660158
20170422,nbellive,O1new107,-15.24,RBS446,62,3454.87487563,233.007949262,0.0125331298868
20170422,nbellive,O1new107,-15.24,RBS1147,30,3760.05551145,538.18858508,0.0289483146895
20170422,nbellive,O1new107,-15.24,HG104,11,4575.17368435,1353.30675798,0.0727922348924
