# Date : 2017-10-06
# Equipment : MACSQuant (Bjorkman lab)
# User: sbarnes
# Description :
# LacI titration with operators Onew201, Onew204, Onew205, Onew207, Onew208,
# Onew209, Onew210, and Onew211
# and 7 different RBS (delta, HG104, RBS1147, RBS446, RBS1027, RBS1 and RBS1L)
# Comments :
# Things looks fine. Flow rate was good (approx 2000-3000/sec)
date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20171006,sbarnes,O1new201,-14.99,auto,0,3185.7334209939636,0.0,0.0
20171006,sbarnes,O1new201,-14.99,delta,0,26170.334334771138,22984.600913777176,1.0
20171006,sbarnes,O1new201,-14.99,RBS1L,870,3268.662466821933,82.92904582796928,0.0036080263537776225
20171006,sbarnes,O1new201,-14.99,RBS1,610,3331.2469789403813,145.51355794641768,0.00633091514150222
20171006,sbarnes,O1new201,-14.99,RBS1027,130,3414.21395632938,228.48053533541633,0.00994059179850554
20171006,sbarnes,O1new201,-14.99,RBS446,62,3457.933721542005,272.20030054804147,0.011842724682023178
20171006,sbarnes,O1new201,-14.99,RBS1147,30,3798.9628727431223,613.2294517491587,0.02668001302478928
20171006,sbarnes,O1new201,-14.99,HG104,11,5521.708796209379,2335.9753752154156,0.10163219209149771
20171006,sbarnes,O1new204,-14.3,auto,0,3208.8209871683594,0.0,0.0
20171006,sbarnes,O1new204,-14.3,delta,0,22394.439821997556,19185.618834829198,1.0
20171006,sbarnes,O1new204,-14.3,RBS1L,870,3334.1719661966854,125.35097902832604,0.0065335906080217915
20171006,sbarnes,O1new204,-14.3,RBS1,610,3355.8576084328347,147.03662126447534,0.007663897762711095
20171006,sbarnes,O1new204,-14.3,RBS1027,130,3407.6368677418127,198.81588057345334,0.010362755680964893
20171006,sbarnes,O1new204,-14.3,RBS446,62,3522.26280271425,313.4418155458907,0.016337331531723884
20171006,sbarnes,O1new204,-14.3,RBS1147,30,3701.9710937556356,493.15010658727624,0.025704154285188924
20171006,sbarnes,O1new204,-14.3,HG104,11,4826.543381230535,1617.7223940621752,0.08431953162362392
20171006,sbarnes,O1new205,-12.48,auto,0,3163.0463128034403,0.0,0.0
20171006,sbarnes,O1new205,-12.48,delta,0,20244.531746299486,17081.485433496047,1.0
20171006,sbarnes,O1new205,-12.48,RBS1L,870,4503.441885789448,1340.3955729860077,0.07847066803438245
20171006,sbarnes,O1new205,-12.48,RBS1,610,4456.3693872902695,1293.3230744868292,0.0757149066175872
20171006,sbarnes,O1new205,-12.48,RBS1027,130,6699.92026678342,3536.8739539799794,0.2070589216464936
20171006,sbarnes,O1new205,-12.48,RBS446,62,7892.616268080594,4729.569955277153,0.2768828257759523
20171006,sbarnes,O1new205,-12.48,RBS1147,30,11044.0899402212,7881.043627417759,0.46137929034926767
20171006,sbarnes,O1new205,-12.48,HG104,11,14986.614058061901,11823.56774525846,0.6921861562503786
20171006,sbarnes,O1new207,-14.56,auto,0,3043.467557849042,0.0,0.0
20171006,sbarnes,O1new207,-14.56,delta,0,22502.210993971938,19458.743436122895,1.0
20171006,sbarnes,O1new207,-14.56,RBS1L,870,3339.034259733362,295.5667018843201,0.015189403306260509
20171006,sbarnes,O1new207,-14.56,RBS1,610,3347.9260740611057,304.45851621206384,0.015646360578806542
20171006,sbarnes,O1new207,-14.56,RBS1027,130,3385.033819014863,341.5662611658213,0.017553356530295952
20171006,sbarnes,O1new207,-14.56,RBS446,62,3501.932985759874,458.4654279108322,0.023560895872636073
20171006,sbarnes,O1new207,-14.56,RBS1147,30,3830.1437488584743,786.6761910094324,0.04042790294202962
20171006,sbarnes,O1new207,-14.56,HG104,11,5245.36666759737,2201.899109748328,0.11315731239154725
20171006,sbarnes,O1new208,-12.4,auto,0,3096.4914281589827,0.0,0.0
20171006,sbarnes,O1new208,-12.4,delta,0,7778.973206091405,4682.481777932422,1.0
20171006,sbarnes,O1new208,-12.4,RBS1L,870,3354.5512816052133,258.0598534462306,0.055111768862062385
20171006,sbarnes,O1new208,-12.4,RBS1,610,3405.930282946354,309.4388547873714,0.06608436924318496
20171006,sbarnes,O1new208,-12.4,RBS1027,130,3649.8661546466415,553.3747264876588,0.11817979283883187
20171006,sbarnes,O1new208,-12.4,RBS446,62,4005.058014879955,908.5665867209723,0.19403526373617952
20171006,sbarnes,O1new208,-12.4,RBS1147,30,4448.817961331167,1352.326533172184,0.28880550898145985
20171006,sbarnes,O1new208,-12.4,HG104,11,5688.108498884196,2591.617070725213,0.55347082885383
20171006,sbarnes,O1new209,-11.64,auto,0,3096.253343291232,0.0,0.0
20171006,sbarnes,O1new209,-11.64,delta,0,19815.715362911218,16719.462019619987,1.0
20171006,sbarnes,O1new209,-11.64,RBS1L,870,3846.4455311538427,750.1921878626108,0.04486939753098956
20171006,sbarnes,O1new209,-11.64,RBS1,610,4050.466544558044,954.2132012668121,0.05707200388069067
20171006,sbarnes,O1new209,-11.64,RBS1027,130,5061.62559966429,1965.3722563730585,0.11754996985349946
20171006,sbarnes,O1new209,-11.64,RBS446,62,6070.029125183402,2973.7757818921705,0.17786312612226987
20171006,sbarnes,O1new209,-11.64,RBS1147,30,7997.208703426475,4900.955360135244,0.2931287713913319
20171006,sbarnes,O1new209,-11.64,HG104,11,12877.819934337136,9781.566591045905,0.585040749491067
20171006,sbarnes,O1new210,-11.24,auto,0,3083.878442901196,0.0,0.0
20171006,sbarnes,O1new210,-11.24,delta,0,4788.160016212612,1704.2815733114162,1.0
20171006,sbarnes,O1new210,-11.24,RBS1L,870,3361.526976174882,277.64853327368564,0.16291236003579795
20171006,sbarnes,O1new210,-11.24,RBS1,610,3304.3271622781085,220.44871937691232,0.12934994007391679
20171006,sbarnes,O1new210,-11.24,RBS1027,130,3548.737845741699,464.85940284050275,0.272759742357175
20171006,sbarnes,O1new210,-11.24,RBS446,62,3780.323875466417,696.4454325652209,0.4086445828385204
20171006,sbarnes,O1new210,-11.24,RBS1147,30,3980.212496799682,896.3340538984858,0.5259307311273161
20171006,sbarnes,O1new210,-11.24,HG104,11,4467.8556538965095,1383.9772109953133,0.8120590122360168
20171006,sbarnes,O1new211,-14.05,auto,0,3098.0326364096186,0.0,0.0
20171006,sbarnes,O1new211,-14.05,delta,0,14774.296533009916,11676.263896600298,1.0
20171006,sbarnes,O1new211,-14.05,RBS1L,870,3696.1991864044326,598.166549994814,0.05122927635859432
20171006,sbarnes,O1new211,-14.05,RBS1,610,3736.5087232126134,638.4760868029948,0.05468153961378826
20171006,sbarnes,O1new211,-14.05,RBS1027,130,4459.143791348111,1361.1111549384927,0.11657077700468886
20171006,sbarnes,O1new211,-14.05,RBS446,62,4948.565288913464,1850.5326525038458,0.15848671020896105
20171006,sbarnes,O1new211,-14.05,RBS1147,30,6393.943821303243,3295.911184893624,0.28227446844990145
20171006,sbarnes,O1new211,-14.05,HG104,11,9783.122073643388,6685.08943723377,0.5725366860867391
