# Date : 2017-06-22
# Equipment : MACSQuant (Bjorkman lab)
# User: sbarnes
# Description :
# LacI titration with operators Onew108, Onew109, Onew110, Onew111
# and 7 different RBS (delta, HG104, RBS1147, RBS446, RBS1027, RBS1 and RBS1L)
# Comments :
# Things looks fine. Flow rate was average (approx 3000-5000/sec)
date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20170622,sbarnes,O1new108,-12.73,auto,0,3034.4210560017173,0.0,0.0
20170622,sbarnes,O1new108,-12.73,delta,0,19720.005892293037,16685.58483629132,1.0
20170622,sbarnes,O1new108,-12.73,RBS1L,870,3451.4024546397354,416.98139863801816,0.024990517427419104
20170622,sbarnes,O1new108,-12.73,RBS1,610,3397.7950008183825,363.37394481666524,0.02177771701632676
20170622,sbarnes,O1new108,-12.73,RBS1027,130,3906.756159891219,872.3351038895016,0.05228076285298455
20170622,sbarnes,O1new108,-12.73,RBS446,62,4560.817483342543,1526.3964273408255,0.09147994765043521
20170622,sbarnes,O1new108,-12.73,RBS1147,30,5340.9937752224705,2306.5727192207532,0.13823745118025074
20170622,sbarnes,O1new108,-12.73,HG104,11,7502.509306729677,4468.088250727959,0.2677813390759802
20170622,sbarnes,O1new109,-11.31,auto,0,3065.7302796861386,0.0,0.0
20170622,sbarnes,O1new109,-11.31,delta,0,11771.523592424624,8705.793312738486,1.0
20170622,sbarnes,O1new109,-11.31,RBS1L,870,3483.577088495664,417.84680880952556,0.04799640811574564
20170622,sbarnes,O1new109,-11.31,RBS1,610,3519.579577117441,453.8492974313026,0.052131871401911355
20170622,sbarnes,O1new109,-11.31,RBS1027,130,3912.2064838469014,846.4762041607628,0.09723136924491216
20170622,sbarnes,O1new109,-11.31,RBS446,62,4476.212525757959,1410.4822460718206,0.1620165096279021
20170622,sbarnes,O1new109,-11.31,RBS1147,30,5225.590344623119,2159.86006493698,0.24809457189577783
20170622,sbarnes,O1new109,-11.31,HG104,11,8171.5050904487925,5105.774810762654,0.5864801319475142
20170622,sbarnes,O1new110,-11.57,auto,0,2948.8702359450026,0.0,0.0
20170622,sbarnes,O1new110,-11.57,delta,0,13865.358715662187,10916.488479717184,1.0
20170622,sbarnes,O1new110,-11.57,RBS1L,870,3771.070622726942,822.2003867819394,0.07531729532894998
20170622,sbarnes,O1new110,-11.57,RBS1,610,3938.657022945974,989.7867870009713,0.09066897188047177
20170622,sbarnes,O1new110,-11.57,RBS1027,130,5765.909624978537,2817.0393890335345,0.25805362175461355
20170622,sbarnes,O1new110,-11.57,RBS446,62,7644.732493316587,4695.862257371585,0.4301623425973003
20170622,sbarnes,O1new110,-11.57,RBS1147,30,9251.341267175634,6302.4710312306315,0.5773350141797531
20170622,sbarnes,O1new110,-11.57,HG104,11,12337.125056012937,9388.254820067934,0.860006845379931
20170622,sbarnes,O1new111,-14.56,auto,0,2984.56707432815,0.0,0.0
20170622,sbarnes,O1new111,-14.56,delta,0,14864.976655085155,11880.409580757005,1.0
20170622,sbarnes,O1new111,-14.56,RBS1L,870,3442.0745541615374,457.5074798333876,0.0385094029564792
20170622,sbarnes,O1new111,-14.56,RBS1,610,3408.8549506765853,424.2878763484355,0.03571323643889055
20170622,sbarnes,O1new111,-14.56,RBS1027,130,3940.1097405711334,955.5426662429836,0.08043011141557778
20170622,sbarnes,O1new111,-14.56,RBS446,62,4567.771298137026,1583.2042238088761,0.13326175440729177
20170622,sbarnes,O1new111,-14.56,RBS1147,30,5250.980913304743,2266.413838976593,0.1907689986250609
20170622,sbarnes,O1new111,-14.56,HG104,11,8782.404867854033,5797.837793525883,0.4880166591997624
