# Date : 2017-07-25
# Equipment : MACSQuant (Bjorkman lab)
# User: sbarnes
# Description :
# LacI titration with operators Onew007 and Onew 010
# and RBS1027
# Comments :
# Things looks fine. Flow rate was good (~20,000 events/sec for flow facility
# cytometer).
date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20170725,sbarnes,007,-15.64,auto,0,0.0,1359.1474341363553,0.0,
20170725,sbarnes,010,-10.13,auto,0,0.0,1359.1474341363553,0.0,
20170725,sbarnes,007,-15.64,delta,0,0.0,8222.218427811205,0.0,
20170725,sbarnes,010,-10.13,delta,0,0.0,5007.962544190206,0.0,
20170725,sbarnes,007,-15.64,RBS1027,130,0.0,1387.419914306092,6863.07099367485,
20170725,sbarnes,010,-10.13,RBS1027,130,0.0,1978.8105378294877,6863.07099367485,
20170725,sbarnes,007,-15.64,auto,0,0.1,1326.3662175147,3648.8151100538507,
20170725,sbarnes,010,-10.13,auto,0,0.1,1326.3662175147,3648.8151100538507,
20170725,sbarnes,007,-15.64,delta,0,0.1,8326.267906220915,28.27248016973681,inf
20170725,sbarnes,010,-10.13,delta,0,0.1,4847.862077499929,28.27248016973681,inf
20170725,sbarnes,007,-15.64,RBS1027,130,0.1,1344.3547502284748,619.6631036931324,inf
20170725,sbarnes,010,-10.13,RBS1027,130,0.1,1981.4905686998704,619.6631036931324,inf
20170725,sbarnes,007,-15.64,auto,0,5.0,1337.8848323381196,0.0,129.0588971377044
20170725,sbarnes,010,-10.13,auto,0,5.0,1337.8848323381196,0.0,129.0588971377044
20170725,sbarnes,007,-15.64,delta,0,5.0,7951.112215645254,0.0,129.0588971377044
20170725,sbarnes,010,-10.13,delta,0,5.0,4287.662764898978,0.0,129.0588971377044
20170725,sbarnes,007,-15.64,RBS1027,130,5.0,1315.9867436435097,6999.901688706215,1.0
20170725,sbarnes,010,-10.13,RBS1027,130,5.0,2267.9959150197724,6999.901688706215,1.0
20170725,sbarnes,007,-15.64,auto,0,10.0,1302.5882904971154,3521.495859985229,1.0
20170725,sbarnes,010,-10.13,auto,0,10.0,1302.5882904971154,3521.495859985229,1.0
20170725,sbarnes,007,-15.64,delta,0,10.0,7648.23589986192,17.988532713774703,21.917536062380087
20170725,sbarnes,010,-10.13,delta,0,10.0,4634.641611162313,17.988532713774703,21.917536062380087
20170725,sbarnes,007,-15.64,RBS1027,130,10.0,1364.2840818721818,655.1243511851703,21.917536062380087
20170725,sbarnes,010,-10.13,RBS1027,130,10.0,2849.3906049492816,655.1243511851703,21.917536062380087
20170725,sbarnes,007,-15.64,auto,0,25.0,1328.1933103488266,0.0,
