date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20171011,nbellive,O1new301,-15.08,auto,0,2954.85936592,0.0,0.0
20171011,nbellive,O1new301,-15.08,delta,0,13517.41673,10562.5573641,1.0
20171011,nbellive,O1new301,-15.08,RBS1L,870,3172.82424772,217.964881798,0.0206356163839
20171011,nbellive,O1new301,-15.08,RBS1,610,3155.71148876,200.852122833,0.0190154823221
20171011,nbellive,O1new301,-15.08,RBS1027,130,3368.11296012,413.253594199,0.0391243881528
20171011,nbellive,O1new301,-15.08,RBS446,62,3581.38348614,626.524120215,0.0593155709
20171011,nbellive,O1new301,-15.08,RBS1147,30,3952.48058956,997.621223636,0.0944488336724
20171011,nbellive,O1new301,-15.08,HG104,11,5561.98257824,2607.12321232,0.246826892622
20171011,nbellive,O1new302,-13.98,auto,0,3028.25714989,0.0,0.0
20171011,nbellive,O1new302,-13.98,delta,0,17849.441983,14821.1848331,1.0
20171011,nbellive,O1new302,-13.98,RBS1L,870,3093.6620946,65.4049447078,0.00441293631004
20171011,nbellive,O1new302,-13.98,RBS1,610,3088.9849397,60.7277898097,0.00409736404299
20171011,nbellive,O1new302,-13.98,RBS1027,130,3288.34675975,260.089609856,0.017548503226
20171011,nbellive,O1new302,-13.98,RBS446,62,3491.97081117,463.713661273,0.0312872193752
20171011,nbellive,O1new302,-13.98,RBS1147,30,3767.89013582,739.632985926,0.0499037691153
20171011,nbellive,O1new302,-13.98,HG104,11,5329.00176595,2300.74461606,0.155233514862
20171011,nbellive,O1new303,-15.75,auto,0,3008.1890085,0.0,0.0
20171011,nbellive,O1new303,-15.75,delta,0,9538.72571003,6530.53670153,1.0
20171011,nbellive,O1new303,-15.75,RBS1L,870,3075.51371302,67.3247045219,0.0103092146326
20171011,nbellive,O1new303,-15.75,RBS1,610,3081.83230263,73.6432941354,0.0112767598593
20171011,nbellive,O1new303,-15.75,RBS1027,130,3135.75014324,127.561134742,0.0195330247072
20171011,nbellive,O1new303,-15.75,RBS446,62,3241.0960214,232.907012899,0.0356642988998
20171011,nbellive,O1new303,-15.75,RBS1147,30,3331.86622697,323.67721847,0.0495636474096
20171011,nbellive,O1new303,-15.75,HG104,11,3942.02419469,933.835186193,0.142995166994
20171011,nbellive,O1new304,-11.98,auto,0,2967.46150542,0.0,0.0
20171011,nbellive,O1new304,-11.98,delta,0,14002.5117491,11035.0502437,1.0
20171011,nbellive,O1new304,-11.98,RBS1L,870,12210.5982115,9243.13670606,0.837616186782
20171011,nbellive,O1new304,-11.98,RBS1,610,13915.8455096,10948.3840042,0.992146275946
20171011,nbellive,O1new304,-11.98,RBS1027,130,14643.1335507,11675.6720453,1.05805336518
20171011,nbellive,O1new304,-11.98,RBS446,62,13398.8666239,10431.4051185,0.945297473791
20171011,nbellive,O1new304,-11.98,RBS1147,30,14589.9542588,11622.4927533,1.05323423969
20171011,nbellive,O1new304,-11.98,HG104,11,14615.7665739,11648.3050685,1.05557336045
20171011,nbellive,O1new305,-10.47,auto,0,2918.19409457,0.0,0.0
20171011,nbellive,O1new305,-10.47,delta,0,15924.3825503,13006.1884558,1.0
20171011,nbellive,O1new305,-10.47,RBS1L,870,4599.87941954,1681.68532497,0.129298858823
20171011,nbellive,O1new305,-10.47,RBS1,610,11051.3184293,8133.12433469,0.625327271119
20171011,nbellive,O1new305,-10.47,RBS1027,130,8596.66817003,5678.47407546,0.436597862223
20171011,nbellive,O1new305,-10.47,RBS446,62,5304.0503845,2385.85628992,0.183440083007
20171011,nbellive,O1new305,-10.47,RBS1147,30,13573.8207934,10655.6266988,0.819273589268
20171011,nbellive,O1new305,-10.47,HG104,11,15610.451186,12692.2570914,0.975862923606
