date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20170926,sbarnes,O1new201,-14.99,auto,0,3165.767094592757,0.0,0.0
20170926,sbarnes,O1new201,-14.99,delta,0,25897.22032139557,22731.453226802812,1.0
20170926,sbarnes,O1new201,-14.99,RBS1L,870,3174.5699023207535,8.802807727996424,0.0003872523080757975
20170926,sbarnes,O1new201,-14.99,RBS1,610,3273.287785816436,107.52069122367902,0.00473004036085562
20170926,sbarnes,O1new201,-14.99,RBS1027,130,3193.2873149287516,27.52022033599451,0.0012106670022990536
20170926,sbarnes,O1new201,-14.99,RBS446,62,3201.950098199923,36.18300360716603,0.0015917593673466684
20170926,sbarnes,O1new201,-14.99,RBS1147,30,3724.620508005511,558.853413412754,0.024585027971454378
20170926,sbarnes,O1new201,-14.99,HG104,11,5171.181234937333,2005.414140344576,0.0882219944468829
20170926,sbarnes,O1new204,-14.3,auto,0,3090.338088766314,0.0,0.0
20170926,sbarnes,O1new204,-14.3,delta,0,21919.18209427111,18828.844005504794,1.0
20170926,sbarnes,O1new204,-14.3,RBS1L,870,3169.9814342124423,79.64334544612848,0.004229858477920577
20170926,sbarnes,O1new204,-14.3,RBS1,610,3286.858347164603,196.52025839828912,0.010437191913684904
20170926,sbarnes,O1new204,-14.3,RBS1027,130,3274.2469741035598,183.90888533724592,0.009767401826871495
20170926,sbarnes,O1new204,-14.3,RBS446,62,3417.6532478906247,327.31515912431087,0.017383709750243677
20170926,sbarnes,O1new204,-14.3,RBS1147,30,3554.5712732300053,464.2331844636915,0.024655426765868814
20170926,sbarnes,O1new204,-14.3,HG104,11,4557.37919524288,1467.0411064765663,0.07791456055654095
20170926,sbarnes,O1new205,-12.48,auto,0,3070.796737367297,0.0,0.0
20170926,sbarnes,O1new205,-12.48,delta,0,15558.281803515838,12487.485066148542,1.0
20170926,sbarnes,O1new205,-12.48,RBS1L,870,4166.3227582584495,1095.5260208911527,0.08772991639933475
20170926,sbarnes,O1new205,-12.48,RBS1,610,4563.038806610156,1492.242069242859,0.11949900731317588
20170926,sbarnes,O1new205,-12.48,RBS1027,130,6229.552736988364,3158.755999621067,0.2529537359114783
20170926,sbarnes,O1new205,-12.48,RBS446,62,8565.593909591153,5494.797172223856,0.440024323802342
20170926,sbarnes,O1new205,-12.48,RBS1147,30,10803.258719826028,7732.461982458732,0.6192169152954687
20170926,sbarnes,O1new205,-12.48,HG104,11,14387.240932117595,11316.444194750298,0.9062228410929005
20170926,sbarnes,O1new207,-14.56,auto,0,3049.3362027652756,0.0,0.0
20170926,sbarnes,O1new207,-14.56,delta,0,17885.609809180274,14836.273606414998,1.0
20170926,sbarnes,O1new207,-14.56,RBS1L,870,3152.5786046010994,103.24240183582378,0.0069587825470664826
20170926,sbarnes,O1new207,-14.56,RBS1,610,3389.4738892474616,340.1376864821859,0.02292608612550224
20170926,sbarnes,O1new207,-14.56,RBS1027,130,3352.2783719791228,302.94216921384714,0.020419020115863808
20170926,sbarnes,O1new207,-14.56,RBS446,62,3534.7264328451474,485.3902300798718,0.03271645178274387
20170926,sbarnes,O1new207,-14.56,RBS1147,30,3742.0808131617428,692.7446103964671,0.046692628403464734
20170926,sbarnes,O1new207,-14.56,HG104,11,4997.773411841114,1948.437209075838,0.13132928528854854
20170926,sbarnes,O1new208,-12.4,auto,0,3134.324599127669,0.0,0.0
20170926,sbarnes,O1new208,-12.4,delta,0,6388.805235771544,3254.480636643875,1.0
20170926,sbarnes,O1new208,-12.4,RBS1L,870,3249.5954894582537,115.27089033058473,0.035419135401418694
20170926,sbarnes,O1new208,-12.4,RBS1,610,3468.5888187106766,334.2642195830076,0.1027089286749334
20170926,sbarnes,O1new208,-12.4,RBS1027,130,3681.9977153167406,547.6731161890716,0.16828280064798593
20170926,sbarnes,O1new208,-12.4,RBS446,62,4040.3834559223287,906.0588567946597,0.278403517474609
20170926,sbarnes,O1new208,-12.4,RBS1147,30,4357.905922607593,1223.5813234799243,0.3759682296778759
20170926,sbarnes,O1new208,-12.4,HG104,11,5474.564072764424,2340.239473636755,0.7190823160189654
20170926,sbarnes,O1new209,-11.64,auto,0,3147.326485144298,0.0,0.0
20170926,sbarnes,O1new209,-11.64,delta,0,16690.17380189679,13542.847316752493,1.0
20170926,sbarnes,O1new209,-11.64,RBS1L,870,3832.2400622333166,684.9135770890184,0.050573824031950855
20170926,sbarnes,O1new209,-11.64,RBS1,610,4015.6648856449997,868.3384005007015,0.06411786090407794
20170926,sbarnes,O1new209,-11.64,RBS1027,130,4947.649107508101,1800.322622363803,0.13293531118355037
20170926,sbarnes,O1new209,-11.64,RBS446,62,6027.399179736142,2880.072694591844,0.21266374989173775
20170926,sbarnes,O1new209,-11.64,RBS1147,30,7541.246248762255,4393.919763617957,0.324445787569552
20170926,sbarnes,O1new209,-11.64,HG104,11,11919.97824824669,8772.651763102393,0.6477701149484738
20170926,sbarnes,O1new210,-11.24,auto,0,3141.442915816014,0.0,0.0
20170926,sbarnes,O1new210,-11.24,delta,0,4616.744863509093,1475.301947693079,1.0
20170926,sbarnes,O1new210,-11.24,RBS1L,870,3313.9219295354405,172.47901371942635,0.11691099167131906
20170926,sbarnes,O1new210,-11.24,RBS1,610,3402.461118477032,261.01820266101777,0.17692527490333107
20170926,sbarnes,O1new210,-11.24,RBS1027,130,3641.9044637150223,500.4615478990081,0.3392265215141734
20170926,sbarnes,O1new210,-11.24,RBS446,62,3986.982484904655,845.5395690886407,0.573129839902134
20170926,sbarnes,O1new210,-11.24,RBS1147,30,4165.868980371215,1024.4260645552008,0.6943839979043543
20170926,sbarnes,O1new210,-11.24,HG104,11,4481.4674746123865,1340.0245587963723,0.9083052868545052
20170926,sbarnes,O1new211,-14.05,auto,0,2998.5501493658253,0.0,0.0
20170926,sbarnes,O1new211,-14.05,delta,0,12168.89968173451,9170.349532368686,1.0
20170926,sbarnes,O1new211,-14.05,RBS1L,870,3564.4530909591394,565.9029415933142,0.061710073274289075
20170926,sbarnes,O1new211,-14.05,RBS1,610,3588.0064335607367,589.4562841949114,0.06427849692253287
20170926,sbarnes,O1new211,-14.05,RBS1027,130,3943.2722147082422,944.722065342417,0.10301919921457965
20170926,sbarnes,O1new211,-14.05,RBS446,62,4886.861514403812,1888.311365037987,0.2059148736231692
20170926,sbarnes,O1new211,-14.05,RBS1147,30,5716.188866544931,2717.638717179106,0.29635061429083226
20170926,sbarnes,O1new211,-14.05,HG104,11,8638.628757418335,5640.07860805251,0.6150342021473295
