date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20170420,sbarnes,O1new102,-13.81,auto,0,3037.720445677674,0.0,0.0
20170420,sbarnes,O1new102,-13.81,delta,0,16926.065582125768,13888.345136448093,1.0
20170420,sbarnes,O1new102,-13.81,RBS1L,870,3063.6203041078234,25.89985843014938,0.0018648628166777542
20170420,sbarnes,O1new102,-13.81,RBS1,610,3129.145180078649,91.42473440097501,0.0065828385961580905
20170420,sbarnes,O1new102,-13.81,RBS1027,130,3187.004494907041,149.28404922936716,0.010748872364756494
20170420,sbarnes,O1new102,-13.81,RBS446,62,3289.878040656441,252.15759497876707,0.018156057651318974
20170420,sbarnes,O1new102,-13.81,RBS1147,30,3511.215172659399,473.49472698172485,0.034092955087867284
20170420,sbarnes,O1new102,-13.81,HG104,11,4028.750969160046,991.0305234823722,0.07135699132948144
20170420,sbarnes,O1new103,-13.1,auto,0,2985.34080733893,0.0,0.0
20170420,sbarnes,O1new103,-13.1,delta,0,20483.88858860974,17498.547781270812,1.0
20170420,sbarnes,O1new103,-13.1,RBS1L,870,3056.1854498880166,70.84464254908653,0.004048601257351969
20170420,sbarnes,O1new103,-13.1,RBS1,610,3292.5424260444606,307.20161870553056,0.01755583506388668
20170420,sbarnes,O1new103,-13.1,RBS1027,130,3367.963979936106,382.6231725971761,0.021865995817476263
20170420,sbarnes,O1new103,-13.1,RBS446,62,3458.7251935450668,473.3843862061367,0.027052781300675323
20170420,sbarnes,O1new103,-13.1,RBS1147,30,3658.3201233411933,672.9793160022632,0.03845915240592547
20170420,sbarnes,O1new103,-13.1,HG104,11,4976.478043509815,1991.1372361708845,0.11378871327265538
20170420,sbarnes,O1new104,-14.21,auto,0,3162.9053088526625,0.0,0.0
20170420,sbarnes,O1new104,-14.21,delta,0,26907.58859566122,23744.683286808555,1.0
20170420,sbarnes,O1new104,-14.21,RBS1L,870,3034.923453425463,-127.98185542719966,-0.005389916297527559
20170420,sbarnes,O1new104,-14.21,RBS1,610,3279.612837097413,116.70752824475039,0.004915101491776379
20170420,sbarnes,O1new104,-14.21,RBS1027,130,3305.632018698113,142.7267098454504,0.006010891285492224
20170420,sbarnes,O1new104,-14.21,RBS446,62,3448.06689562937,285.1615867767073,0.01200949211797362
20170420,sbarnes,O1new104,-14.21,RBS1147,30,3560.9728082176416,398.0674993649791,0.01676448974099928
20170420,sbarnes,O1new104,-14.21,HG104,11,4403.129856839178,1240.224547986515,0.052231673634304754
20170420,sbarnes,O1new105,-12.59,auto,0,3159.867441147876,0.0,0.0
20170420,sbarnes,O1new105,-12.59,delta,0,18773.40542914964,15613.537988001764,1.0
20170420,sbarnes,O1new105,-12.59,RBS1L,870,3468.393031043605,308.5255898957289,0.019760133169869354
20170420,sbarnes,O1new105,-12.59,RBS1,610,4052.2884663468153,892.4210251989393,0.0571568741104496
20170420,sbarnes,O1new105,-12.59,RBS1027,130,5516.227870768163,2356.3604296202866,0.15091777606273693
20170420,sbarnes,O1new105,-12.59,RBS446,62,7132.960315757703,3973.092874609827,0.2544646112663865
20170420,sbarnes,O1new105,-12.59,RBS1147,30,9271.007716005095,6111.140274857219,0.39140009647738583
20170420,sbarnes,O1new105,-12.59,HG104,11,13164.269559330814,10004.402118182938,0.6407517710509193
20170420,sbarnes,O1new107,-15.24,auto,0,3191.3237462940933,0.0,0.0
20170420,sbarnes,O1new107,-15.24,delta,0,19250.673266668753,16059.34952037466,1.0
20170420,sbarnes,O1new107,-15.24,RBS1L,870,3054.028682343254,-137.29506395083945,-0.008549229455193798
20170420,sbarnes,O1new107,-15.24,RBS1,610,3270.6252216969415,79.30147540284815,0.004938025372835778
20170420,sbarnes,O1new107,-15.24,RBS1027,130,3340.7667557092063,149.443009415113,0.009305670147194514
20170420,sbarnes,O1new107,-15.24,RBS446,62,3379.5909972228105,188.2672509287172,0.011723217723722907
20170420,sbarnes,O1new107,-15.24,RBS1147,30,3536.817888565414,345.49414227132047,0.02151358259143613
20170420,sbarnes,O1new107,-15.24,HG104,11,4374.587818800065,1183.2640725059719,0.07368069740338815
