date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160920,sbarnes,O1new005,-11.95,auto,0,3100.6045061312966,0.0,0.0
20160920,sbarnes,O1new005,-11.95,delta,0,15919.8999096236,12819.295403492304,1.0
20160920,sbarnes,O1new005,-11.95,RBS1L,870,3487.1785020663538,386.57399593505716,0.03015563521765358
20160920,sbarnes,O1new005,-11.95,RBS1,610,3526.1550461612073,425.55054002991074,0.03319609437457693
20160920,sbarnes,O1new005,-11.95,RBS1027,130,4195.390380487694,1094.785874356397,0.08540140779173787
20160920,sbarnes,O1new005,-11.95,RBS446,62,4854.374573556635,1753.7700674253388,0.1368070562558038
20160920,sbarnes,O1new005,-11.95,RBS1147,30,5980.082478852338,2879.477972721041,0.22462061151477933
20160920,sbarnes,O1new005,-11.95,HG104,11,10074.719896556999,6974.115390425703,0.5440326609936592
20160920,sbarnes,O1new009,-13.03,auto,0,3038.3646059484026,0.0,0.0
20160920,sbarnes,O1new009,-13.03,delta,0,13730.110956729757,10691.746350781355,1.0
20160920,sbarnes,O1new009,-13.03,RBS1L,870,3356.4611566165477,318.096550668145,0.029751599058922537
20160920,sbarnes,O1new009,-13.03,RBS1,610,3335.2337193243206,296.869113375918,0.027766194935425374
20160920,sbarnes,O1new009,-13.03,RBS1027,130,3560.1374614556084,521.7728555072058,0.048801462210995544
20160920,sbarnes,O1new009,-13.03,RBS446,62,4043.155536508114,1004.7909305597113,0.09397818631249899
20160920,sbarnes,O1new009,-13.03,RBS1147,30,4734.073914897983,1695.7093089495802,0.15859984452639558
20160920,sbarnes,O1new009,-13.03,HG104,11,7740.955250572134,4702.590644623731,0.4398337269084264
20160920,sbarnes,O1new010,-12.13,auto,0,2973.937840872773,0.0,0.0
20160920,sbarnes,O1new010,-12.13,delta,0,12305.112331629287,9331.174490756513,1.0
20160920,sbarnes,O1new010,-12.13,RBS1L,870,3531.1841557297275,557.2463148569545,0.0597187755313079
20160920,sbarnes,O1new010,-12.13,RBS1,610,3568.723280735714,594.7854398629411,0.06374175517263525
20160920,sbarnes,O1new010,-12.13,RBS1027,130,4442.5117102510285,1468.5738693782555,0.15738360383604752
20160920,sbarnes,O1new010,-12.13,RBS446,62,5790.697501465104,2816.7596605923313,0.30186550078798985
20160920,sbarnes,O1new010,-12.13,RBS1147,30,7212.556786052255,4238.618945179482,0.45424281256108423
20160920,sbarnes,O1new010,-12.13,HG104,11,9990.915335241201,7016.977494368428,0.7519929566550775
20160920,sbarnes,O1new012,-13.07,auto,0,2995.3017059367044,0.0,0.0
20160920,sbarnes,O1new012,-13.07,delta,0,9913.990548676285,6918.688842739581,1.0
20160920,sbarnes,O1new012,-13.07,RBS1L,870,3202.161230209181,206.85952427247685,0.029898659843556
20160920,sbarnes,O1new012,-13.07,RBS1,610,3125.5706380158394,130.26893207913508,0.01882855769931586
20160920,sbarnes,O1new012,-13.07,RBS1027,130,3220.758315381289,225.4566094445845,0.032586609192748556
20160920,sbarnes,O1new012,-13.07,RBS446,62,5021.156111360799,2025.8544054240942,0.2928090063697561
20160920,sbarnes,O1new012,-13.07,RBS1147,30,3619.8034277332963,624.5017217965919,0.09026301601233871
20160920,sbarnes,O1new012,-13.07,HG104,11,4798.902699258346,1803.6009933216415,0.26068537468834524
