date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20170928,sbarnes,O1new201,-14.99,auto,0,3352.9862801409026,0.0,0.0
20170928,sbarnes,O1new201,-14.99,delta,0,26605.351067678628,23252.364787537725,1.0
20170928,sbarnes,O1new201,-14.99,RBS1L,870,3432.702309939856,79.71602979895351,0.0034282977463727863
20170928,sbarnes,O1new201,-14.99,RBS1,610,3441.9275306705404,88.94125052963773,0.0038250410804369643
20170928,sbarnes,O1new201,-14.99,RBS1027,130,3489.7664808404734,136.78020069957074,0.00588242107628034
20170928,sbarnes,O1new201,-14.99,RBS446,62,3563.2019363614645,210.21565622056187,0.009040614068347512
20170928,sbarnes,O1new201,-14.99,RBS1147,30,3951.475556248495,598.4892761075926,0.025738856308858412
20170928,sbarnes,O1new201,-14.99,HG104,11,5335.067549103822,1982.0812689629192,0.08524213717932166
20170928,sbarnes,O1new204,-14.3,auto,0,3248.8259436631306,0.0,0.0
20170928,sbarnes,O1new204,-14.3,delta,0,23002.07283438087,19753.24689071774,1.0
20170928,sbarnes,O1new204,-14.3,RBS1L,870,3412.5113413241916,163.68539766106096,0.008286505938321384
20170928,sbarnes,O1new204,-14.3,RBS1,610,3386.5071230105264,137.68117934739576,0.006970053080847869
20170928,sbarnes,O1new204,-14.3,RBS1027,130,3430.7861541317593,181.9602104686287,0.009211660820891868
20170928,sbarnes,O1new204,-14.3,RBS446,62,3564.8088659297473,315.9829222666167,0.015996505486654978
20170928,sbarnes,O1new204,-14.3,RBS1147,30,3776.853706255512,528.0277625923814,0.02673118832127326
20170928,sbarnes,O1new204,-14.3,HG104,11,4903.878971729878,1655.0530280667472,0.08378637887852626
20170928,sbarnes,O1new205,-12.48,auto,0,3097.988608416891,0.0,0.0
20170928,sbarnes,O1new205,-12.48,delta,0,17545.407792501883,14447.419184084993,1.0
20170928,sbarnes,O1new205,-12.48,RBS1L,870,4731.157936196795,1633.169327779904,0.11304228852022048
20170928,sbarnes,O1new205,-12.48,RBS1,610,4837.103540182521,1739.11493176563,0.1203754739587958
20170928,sbarnes,O1new205,-12.48,RBS1027,130,7639.312090517977,4541.323482101086,0.31433458282318844
