date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160921,sbarnes,O1new005,-11.95,auto,0,3094.452088557816,0.0,0.0
20160921,sbarnes,O1new005,-11.95,delta,0,16272.254722634822,13177.802634077005,1.0
20160921,sbarnes,O1new005,-11.95,RBS1L,870,3506.852139551679,412.40005099386326,0.03129505445220598
20160921,sbarnes,O1new005,-11.95,RBS1,610,3578.284120885212,483.83203232739606,0.03671568362059358
20160921,sbarnes,O1new005,-11.95,RBS1027,130,4177.722758007381,1083.2706694495655,0.08220419591414221
20160921,sbarnes,O1new005,-11.95,RBS446,62,4937.445640441742,1842.9935518839266,0.13985590792793148
20160921,sbarnes,O1new005,-11.95,RBS1147,30,6149.8732054986385,3055.4211169408227,0.23186119884962364
20160921,sbarnes,O1new005,-11.95,HG104,11,10051.272350216315,6956.8202616584995,0.5279195974349001
20160921,sbarnes,O1new009,-13.03,auto,0,3059.7791682812385,0.0,0.0
20160921,sbarnes,O1new009,-13.03,delta,0,14025.50413785381,10965.724969572571,1.0
20160921,sbarnes,O1new009,-13.03,RBS1L,870,3427.158133985262,367.37896570402336,0.03350247856146471
20160921,sbarnes,O1new009,-13.03,RBS1,610,3421.478098659806,361.69893037856764,0.03298449773108491
20160921,sbarnes,O1new009,-13.03,RBS1027,130,3703.51862452904,643.7394562478016,0.05870468738127523
20160921,sbarnes,O1new009,-13.03,RBS446,62,4278.584043198485,1218.8048749172467,0.11114676670253514
20160921,sbarnes,O1new009,-13.03,RBS1147,30,4906.182312290266,1846.4031440090275,0.16837948691330326
20160921,sbarnes,O1new009,-13.03,HG104,11,7927.062254763952,4867.283086482714,0.4438633195696895
20160921,sbarnes,O1new010,-12.13,auto,0,3039.6729036277175,0.0,0.0
20160921,sbarnes,O1new010,-12.13,delta,0,12563.277420018916,9523.604516391199,1.0
20160921,sbarnes,O1new010,-12.13,RBS1L,870,3536.009282347352,496.33637871963447,0.052116441612562084
20160921,sbarnes,O1new010,-12.13,RBS1,610,3645.72724851623,606.0543448885123,0.06363707605092425
20160921,sbarnes,O1new010,-12.13,RBS1027,130,4499.810274540544,1460.1373709128266,0.1533177242292837
20160921,sbarnes,O1new010,-12.13,RBS446,62,5951.1580606806565,2911.485157052939,0.30571252219072564
20160921,sbarnes,O1new010,-12.13,RBS1147,30,7418.11576683223,4378.442863204513,0.45974639703577763
20160921,sbarnes,O1new010,-12.13,HG104,11,10301.052468167396,7261.3795645396785,0.7624612668493347
20160921,sbarnes,O1new012,-13.07,auto,0,2984.757571036974,0.0,0.0
20160921,sbarnes,O1new012,-13.07,delta,0,9910.581088422674,6925.8235173857,1.0
20160921,sbarnes,O1new012,-13.07,RBS1L,870,3319.269750811308,334.5121797743341,0.04829926418636247
20160921,sbarnes,O1new012,-13.07,RBS1,610,3160.4308812093,175.67331017232618,0.025364970639424816
20160921,sbarnes,O1new012,-13.07,RBS1027,130,3258.7502738108988,273.992702773925,0.03956102867566995
20160921,sbarnes,O1new012,-13.07,RBS446,62,5094.437491308469,2109.6799202714956,0.30461069574984484
20160921,sbarnes,O1new012,-13.07,RBS1147,30,3638.6188595919625,653.8612885549887,0.09440917558953374
20160921,sbarnes,O1new012,-13.07,HG104,11,4759.709101793706,1774.9515307567326,0.2562802136527334
20160921,sbarnes,O1new013,-14.23,auto,0,2957.476460547742,0.0,0.0
20160921,sbarnes,O1new013,-14.23,delta,0,19218.254421553007,16260.777961005264,1.0
20160921,sbarnes,O1new013,-14.23,RBS1L,870,5691.982748400766,2734.5062878530234,0.16816577253625892
20160921,sbarnes,O1new013,-14.23,RBS1,610,6036.989785612082,3079.5133250643403,0.18938290237092448
20160921,sbarnes,O1new013,-14.23,RBS1027,130,9009.198056385212,6051.72159583747,0.3721667936398871
20160921,sbarnes,O1new013,-14.23,RBS446,62,13352.558329730025,10395.081869182282,0.6392733419096293
20160921,sbarnes,O1new013,-14.23,RBS1147,30,13904.985567528805,10947.509106981062,0.6732463313399965
20160921,sbarnes,O1new013,-14.23,HG104,11,17428.1777938845,14470.701333336758,0.8899144535420591
20160921,sbarnes,O1new014,-10.46,auto,0,2947.5635732894966,0.0,0.0
20160921,sbarnes,O1new014,-10.46,delta,0,36998.22930878268,34050.66573549318,1.0
20160921,sbarnes,O1new014,-10.46,RBS1L,870,7698.941298031928,4751.377724742431,0.1395384678129734
20160921,sbarnes,O1new014,-10.46,RBS1,610,8835.481446984242,5887.917873694745,0.17291638053224295
20160921,sbarnes,O1new014,-10.46,RBS1027,130,19780.185606836312,16832.622033546817,0.49434046794571485
20160921,sbarnes,O1new014,-10.46,RBS446,62,4276.92004184564,1329.3564685561437,0.03904054266905186
20160921,sbarnes,O1new014,-10.46,RBS1147,30,28865.078829056663,25917.515255767168,0.7611456250839668
20160921,sbarnes,O1new014,-10.46,HG104,11,35829.15586822968,32881.59229494019,0.965666649526491
