date,username,operator,binding_energy,rbs,repressors,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160912,nbellive,01new007,-14.67,auto,0,3192.04793193,0.0,0.0
20160912,nbellive,01new007,-14.67,delta,0,24501.8779764,21309.8300445,1.0
20160912,nbellive,01new007,-14.67,RBS1L,870,3247.30243735,55.2545054231,0.00259291159563
20160912,nbellive,01new007,-14.67,RBS1,610,3311.68953735,119.641605426,0.00561438571667
20160912,nbellive,01new007,-14.67,RBS1027,130,3327.10506301,135.057131082,0.00633778546335
20160912,nbellive,01new007,-14.67,RBS446,62,3388.31774292,196.269810991,0.00921029452519
20160912,nbellive,01new007,-14.67,RBS1147,30,3442.27156465,250.223632723,0.0117421693276
20160912,nbellive,01new007,-14.67,HG104,11,4044.95538329,852.907451365,0.040024132036
20160912,nbellive,01new008,-13.93,auto,0,3160.11637725,0.0,0.0
20160912,nbellive,01new008,-13.93,delta,0,24775.0311104,21614.9147332,1.0
20160912,nbellive,01new008,-13.93,RBS1L,870,3191.58993906,31.4735618056,0.00145610390761
20160912,nbellive,01new008,-13.93,RBS1,610,3290.4431492,130.326771953,0.00602948350996
20160912,nbellive,01new008,-13.93,RBS1027,130,3326.55638283,166.44000558,0.00770023882281
20160912,nbellive,01new008,-13.93,RBS446,62,3405.72455004,245.608172793,0.0113629026913
20160912,nbellive,01new008,-13.93,RBS1147,30,3536.46570067,376.349323423,0.0174115571618
20160912,nbellive,01new008,-13.93,HG104,11,4305.82164445,1145.7052672,0.0530053105155
20160912,nbellive,01new009,-13.03,auto,0,3178.46192495,0.0,0.0
20160912,nbellive,01new009,-13.03,delta,0,15457.8211003,12279.3591753,1.0
20160912,nbellive,01new009,-13.03,RBS1L,870,3483.16595872,304.70403377,0.0248143269873
20160912,nbellive,01new009,-13.03,RBS1,610,3402.50248001,224.040555059,0.0182452969948
20160912,nbellive,01new009,-13.03,RBS1027,130,3719.29376183,540.831836877,0.044043978937
20160912,nbellive,01new009,-13.03,RBS446,62,4422.09738208,1243.63545713,0.101278530856
20160912,nbellive,01new009,-13.03,RBS1147,30,4987.24821177,1808.78628682,0.147302987151
20160912,nbellive,01new009,-13.03,HG104,11,8778.52654862,5600.06462367,0.456055120118
20160912,nbellive,01new010,-12.13,auto,0,3054.29736524,0.0,0.0
20160912,nbellive,01new010,-12.13,delta,0,13870.5096793,10816.2123141,1.0
20160912,nbellive,01new010,-12.13,RBS1L,870,3736.67411856,682.376753318,0.0630883282895
20160912,nbellive,01new010,-12.13,RBS1,610,3636.22537684,581.928011597,0.0538014597625
20160912,nbellive,01new010,-12.13,RBS1027,130,5152.54502384,2098.2476586,0.19399098295
20160912,nbellive,01new010,-12.13,RBS446,62,6441.95084984,3387.6534846,0.313201459646
20160912,nbellive,01new010,-12.13,RBS1147,30,7868.6621204,4814.36475516,0.445106347339
20160912,nbellive,01new010,-12.13,HG104,11,11308.7735864,8254.47622114,0.763157747044
20160912,nbellive,01new011,-12.79,auto,0,3050.81748376,0.0,0.0
20160912,nbellive,01new011,-12.79,delta,0,13691.233322,10640.4158383,1.0
20160912,nbellive,01new011,-12.79,RBS1L,870,3429.63203503,378.814551272,0.0356014799637
20160912,nbellive,01new011,-12.79,RBS1,610,3418.9600778,368.142594043,0.0345985156631
20160912,nbellive,01new011,-12.79,RBS1027,130,3774.38503582,723.567552064,0.0680018114951
20160912,nbellive,01new011,-12.79,RBS446,62,4211.36149802,1160.54401426,0.10906942284
20160912,nbellive,01new011,-12.79,RBS1147,30,5031.03686714,1980.21938339,0.186103570902
20160912,nbellive,01new011,-12.79,HG104,11,7817.75378531,4766.93630155,0.448002820002
20160912,nbellive,01new012,-13.07,auto,0,2976.89803091,0.0,0.0
20160912,nbellive,01new012,-13.07,delta,0,11089.321955,8112.42392406,1.0
20160912,nbellive,01new012,-13.07,RBS1L,870,3290.13261389,313.234582984,0.038611712839
20160912,nbellive,01new012,-13.07,RBS1,610,3218.43532033,241.537289418,0.0297737509379
20160912,nbellive,01new012,-13.07,RBS1027,130,3287.49777939,310.599748485,0.0382869227979
20160912,nbellive,01new012,-13.07,RBS446,62,5335.24261199,2358.34458108,0.290707759254
20160912,nbellive,01new012,-13.07,RBS1147,30,3709.6386659,732.74063499,0.090323267355
20160912,nbellive,01new012,-13.07,HG104,11,4992.39554307,2015.49751216,0.248445782793
